Time;Name;Page;Referrer;Load Generator;Response code;Assertions;Time;Size;Population;Virtual User;
1706277093664;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;200;1 Assertion failed;1.75;32220;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#562 - Actions#1;
1706277122429;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281098/edit/service-scope/system-requirements;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/service-scope/system-req;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#55 - Actions#1;
1706277124100;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/group-or-consortium;/suppliers/frameworks/g-cloud-14/declaration/edit/ultimate-parent-company;/suppliers/frameworks/g-cloud-14/declaration/edit/ultimate-parent-company;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#249 - Actions#1;
1706277442976;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/group-or-consortium;/suppliers/frameworks/g-cloud-14/declaration/edit/group-or-consortium;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#564 - Actions#1;
1706277442992;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-mandatory-exclusion;/suppliers/frameworks/g-cloud-14/declaration/edit/key-subcontractors;/suppliers/frameworks/g-cloud-14/declaration/edit/key-subcontractors;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#542 - Actions#1;
1706277445662;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-discretionary-exclusion;/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-mandatory-exclusion-taxes;/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-mandatory-exclusion-taxes;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#322 - Actions#1;
1706277446888;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/user-support/phone-support;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/user-support/email-or-ti;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/user-support/email-or-ticketing-support;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#287 - Actions#1;
1706277448728;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-discretionary-exclusion;/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-discretionary-exclusion;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#488 - Actions#1;
1706277549308;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/280945/edit/documents/service-definition-document-url;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/documents/service-defini;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#45 - Actions#1;
1706277550211;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/health-and-safety;/suppliers/frameworks/g-cloud-14/declaration/edit/data-protection;/suppliers/frameworks/g-cloud-14/declaration/edit/data-protection;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#457 - Actions#1;
